id,pts,road,green,svf,building,meanh,temp,ws,humi
778,2,17.4,57.25,92.16,10.91,4.46,28.13,1.5,75
779,2,32.45,0.9,28.55,28.68,3.17,28.13,1.5,75
780,2,36.74,0,69.25,38.01,2.92,28.13,1.5,75
781,3,47.21,0,9.15,34.92,5.02,26.99,1,81
782,1,50.81,0,2.36,28,8.55,26.99,1,81
783,3,37.38,0.01,22.15,30.74,4.25,26.99,1,81
784,3,39.53,0.53,17.18,28.32,4.5,26.99,1,81
785,2,15.31,54.93,52.41,7.17,4.25,26.99,1,81
786,3,12.86,35.06,52.21,4.96,3.52,26.99,1,81
787,2,51.51,0,13.88,20.46,8.13,26.99,1,81
788,1,32.91,4.02,80.98,23.99,3.63,26.99,1,81
789,2,36.54,0,11.62,44.29,4.82,26.99,1,81
790,2,49.83,0,58.6,29.43,6.79,26.4,1.2,85
791,1,35.3,0,16.83,46.1,4.35,26.4,1.2,85
792,1,35.28,0,23.43,46.33,4.23,26.4,1.2,85
793,2,37.08,2.73,33.45,12.57,9.27,26.4,1.2,85
794,2,37.02,0,58.8,32.15,3.52,26.4,1.2,85
795,2,49.67,0,33.21,34.38,4.71,25.8,0.8,88
796,1,41.97,0,0.6,28.77,4.07,25.8,0.8,88
797,3,47.1,0,0.68,20.78,8.01,25.8,0.8,88
798,1,31.44,2.38,40.27,10.37,3.85,25.8,0.8,88
799,3,34.84,0,21.77,23.83,2.75,25.8,0.8,88
800,1,32.67,29.69,42.94,14.82,5.36,25.31,0.9,91
801,2,1.04,97.98,98.61,0,0,25.31,0.9,91
802,1,38.17,0,34.96,36.73,3.77,25.31,0.9,91
803,2,46.09,5.15,21.54,24.73,5.25,25.31,0.9,91
804,2,33.11,2.51,58.87,39.64,3.31,24.94,1.2,93
805,2,49.54,12.57,33.9,17.49,7.46,24.24,0.8,96
806,1,14.4,56.73,43.56,6.76,4.06,24.89,2.3,95
807,2,17.42,57.16,91.98,10.91,4.46,24.89,2.3,95
808,1,42.3,8.59,69.17,23.93,5.13,24.89,2.3,95
809,1,41.44,9.04,66.01,24.15,4.86,24.89,2.3,95
810,2,39.84,0,11.11,33.77,4.13,24.87,2.4,94
811,3,30.6,23.38,18.54,23.78,2.72,24.87,2.4,94
812,1,40.82,2.32,62.93,28.49,5.65,24.87,2.4,94
813,2,34.31,18.37,43.54,11.44,7.08,24.87,2.4,94
814,1,39.19,18.24,48.16,19.29,6.29,24.87,2.4,94
815,1,41.04,0,55.73,29.17,3.99,24.87,2.4,94
816,2,60.23,2.52,39.07,18.55,11.5,24.71,3.1,93
817,3,32.27,0,63.78,26.53,3.33,24.71,3.1,93
818,3,57.55,0,17.5,16.95,7.72,24.71,3.1,93
819,1,37.26,2.34,40.32,12.71,8.99,24.71,3.1,93
820,2,51.49,0,0.65,20.46,8.11,24.71,3.1,93
821,2,37.36,0,49.95,32.25,4.02,23.69,3.9,94
822,2,49.58,1.93,25.01,21.49,7.8,23.69,3.9,94
823,2,30.33,7.43,0.28,9.37,10.06,23.69,3.9,94
824,2,32.25,0,80.24,22.85,2.82,23.69,3.9,94
825,3,37.42,0.02,22.92,30.72,4.25,23.1,4,95
826,1,21.82,32.77,19.53,20.87,2.58,23.1,4,95
827,2,30.45,0,42.75,54.08,1.69,23.1,4,95
828,2,38.78,0,16.94,35.49,3.76,23.1,4,95
829,2,41.4,0,10.98,31.9,3.9,23.1,4,95
830,2,55.94,0,25.93,27.59,8.09,23.1,4,95
831,2,31.85,14.85,20.28,30.19,2.95,23.1,4,95
